"allele"	"logit_of_percentage"	"estimated_transmission_percentage"	"lower_confidence_interval"	"upper_confidence_interval"	"raw_p_value"	"adj_p_value"
"R178B05"	-0.0305265906591551	0.49236894492369	0.463116986783053	0.521673246480824	0.609924152906882	0.888797261212645
"R179A12"	-0.168180528037697	0.458053691275168	0.412097871504843	0.504734497615339	0.0781379895584997	0.364643951272999
"R180E10"	-0.0645385211375709	0.483870967741936	0.448972225081536	0.518927737706496	0.367225382709383	0.767483470476819
"R180H11"	-0.0241239768945139	0.493969298245614	0.456393923276796	0.53161292528134	0.753781396597648	0.971400293523328
"R181E01"	-0.0103520593210332	0.497412008281573	0.460876639122741	0.533975035400709	0.889819993722574	0.989860051766172
"R182A12"	-0.0222850447894344	0.494428969359332	0.459836452292477	0.529074907663747	0.752858336886018	0.971400293523328
"R182D03"	-0.162595030102811	0.45944055944056	0.41741476544857	0.502051256268315	0.0620680623650243	0.318616053473791
"R183A02"	0.00721446014933247	0.501803607214429	0.46962074274443	0.533971533928164	0.912636237547049	0.989860051766172
"R183D03"	0.0124556770469198	0.503113879003559	0.46920816930635	0.536990974108161	0.85731187775854	0.988503036207334
"R185F03"	0.0112418148662489	0.502810424118549	0.466479861096993	0.539111334373752	0.879653406956926	0.989860051766172
"R186E02"	-0.14827104042263	0.463	0.412799377758429	0.513962056634623	0.154560825782648	0.51782345743631
"R186H03"	-0.0642195927342934	0.483950617283951	0.444172504590997	0.52393314387806	0.431544883870554	0.800897777955756
"R187B08"	3.67761376907083e-16	0.5	0.443483583215251	0.556516416784749	0.999999999999998	0.999999999999998
"R187E02"	-0.0399600847211599	0.49001130795326	0.458851057904173	0.521249371872146	0.530974902027269	0.85179409143371
"R187H03"	0.0436839388615591	0.510919248349416	0.485272829972135	0.53650831176195	0.404047691352517	0.782683578217455
"R187H05"	-0.0670201488309339	0.483251231527094	0.447696692183886	0.518976154084684	0.358184493213757	0.760833268343705
"R188G12"	-0.0229236399019367	0.494269340974212	0.459187634111547	0.529407569142203	0.749459990873551	0.971400293523328
"R188H01"	-0.0835156033114885	0.479133226324237	0.433877345804287	0.524734212127868	0.369849815991345	0.767483470476819
"R189E01"	-0.118352673951479	0.470446320868516	0.43125588915778	0.510004575383626	0.143014528287037	0.506304307039167
"R193F12"	0.0519327487416433	0.512980269989616	0.461181959218213	0.564501270214417	0.623784440624326	0.889470406075427
