"allele"	"logit_of_percentage"	"estimated_transmission_percentage"	"lower_confidence_interval"	"upper_confidence_interval"	"raw_p_value"	"adj_p_value"
"R41A02"	-0.0691633599367721	0.482716049382716	0.450327837481283	0.51525013527032	0.29774233634646	0.830971793257847
"R41A12"	-0.0326605606329249	0.491835585585586	0.464985677118865	0.518732676335962	0.551993522976202	0.89950654471283
"R41F01"	-0.0485925552368653	0.487854251012146	0.46241019227547	0.513361408255355	0.350687661575754	0.862110308261568
"R44E07"	-0.0854177511543517	0.478658536585366	0.44751032979534	0.509973580304823	0.181570879374559	0.655791293741052
"R45E04"	0.00406174400817758	0.501015434606011	0.478179678751522	0.523846955065071	0.930591482038454	0.988418333992562
"R45E09"	-0.00226843197462848	0.499432892249527	0.468299165670859	0.530571017075961	0.971559497086104	0.988418333992562
"R46A02"	-0.0137495555831024	0.496562665256478	0.459777290452265	0.533385289716542	0.855021365406651	0.988418333992562
"R46C04"	0.0442402700674549	0.511058263971463	0.48633140480302	0.535731125112776	0.380765409285531	0.862110308261568
"R47C07"	0.0668027951116007	0.51669449081803	0.470385266046471	0.562718743809143	0.480059723536657	0.878001121052551
"R47G10"	-0.0134591533740046	0.496635262449529	0.455161326999881	0.538155552887916	0.874022862215715	0.988418333992562
"R48D04"	-0.0802999424016428	0.479935794542536	0.434837868597728	0.52536309145936	0.386755538558824	0.862110308261568
"R49F11"	-0.229958367471849	0.442762417114976	0.425027112323625	0.460644873839154	4.3333048260763e-10	8.86883054403616e-09
"R51E11"	0.040199452832304	0.51004851004851	0.467876742881231	0.552077736054325	0.640807813323331	0.910761974207259
"R52B09"	0.0127874560851259	0.503196820459651	0.482126970382989	0.524255322651719	0.766259429914828	0.98017352076605
"R52E07"	-0.070551110991965	0.482369534555712	0.457863897026908	0.50696027249218	0.159918346594168	0.611788972369089
"R52H01"	-0.00712253723319891	0.498219373219373	0.468005059982047	0.528446696562096	0.908175325636384	0.988418333992562
